id,name,status,session_type,focus,age_min,age_max,format,drills
CIR_001,Skating Edge Strength,active,bodyweight_circuit,"[""edges"", ""strength"", ""core""]",9,16,"{""style"": ""timed"", ""work_sec"": 45, ""rest_sec"": 15, ""rounds"": 3}","[{""id"": ""BW_004"", ""role"": ""primary_lower""}, {""id"": ""BW_013"", ""role"": ""lateral_power""}, {""id"": ""BW_015"", ""role"": ""isometric""}, {""id"": ""BW_016"", ""role"": ""mobility""}, {""id"": ""BW_017"", ""role"": ""core""}]"
CIR_002,Acceleration & Deceleration,active,bodyweight_circuit,"[""speed"", ""braking"", ""core""]",9,16,"{""style"": ""mixed"", ""rounds"": 3}","[{""id"": ""BW_018"", ""role"": ""power""}, {""id"": ""BW_019"", ""role"": ""power""}, {""id"": ""BW_020"", ""role"": ""deceleration""}, {""id"": ""BW_016"", ""role"": ""lower""}, {""id"": ""BW_011"", ""role"": ""core""}]"
CIR_003,Rotation & Shot Power,active,bodyweight_circuit,"[""rotation"", ""core"", ""coordination""]",9,16,"{""style"": ""timed"", ""work_sec"": 40, ""rest_sec"": 20, ""rounds"": 3}","[{""id"": ""BW_001"", ""role"": ""primary_lower""}, {""id"": ""BW_010"", ""role"": ""anti_extension""}, {""id"": ""BW_011"", ""role"": ""core""}, {""id"": ""BW_012"", ""role"": ""lateral_core""}, {""id"": ""BW_005"", ""role"": ""activation""}]"
CIR_004,Hockey Conditioning,active,conditioning,"[""conditioning"", ""posture""]",9,16,"{""style"": ""interval"", ""work_sec"": 20, ""rest_sec"": 40, ""rounds"": 8}","[{""id"": ""BW_013"", ""role"": ""lateral_power""}, {""id"": ""BW_014"", ""role"": ""power""}, {""id"": ""BW_021"", ""role"": ""speed""}, {""id"": ""BW_010"", ""role"": ""core""}, {""id"": ""BW_004"", ""role"": ""primary_lower""}]"
CIR_005,Knee & Groin Armor,active,activation,"[""injury_prevention"", ""mobility"", ""core""]",8,18,"{""style"": ""timed"", ""work_sec"": 30, ""rest_sec"": 15, ""rounds"": 2}","[{""id"": ""BW_016"", ""role"": ""mobility""}, {""id"": ""BW_006"", ""role"": ""activation""}, {""id"": ""BW_015"", ""role"": ""isometric""}, {""id"": ""BW_017"", ""role"": ""core""}, {""id"": ""BW_001"", ""role"": ""patterning""}]"
CIR_006,Corner Battles Strength,active,bodyweight_circuit,"[""strength"", ""contact"", ""stability""]",10,18,"{""style"": ""timed"", ""work_sec"": 45, ""rest_sec"": 15, ""rounds"": 3}","[{""id"": ""BW_002"", ""role"": ""primary_lower""}, {""id"": ""BW_004"", ""role"": ""primary_lower""}, {""id"": ""BW_015"", ""role"": ""isometric""}, {""id"": ""BW_006"", ""role"": ""activation""}, {""id"": ""BW_012"", ""role"": ""core""}]"
CIR_007,Speed & First-Step Power,active,bodyweight_circuit,"[""speed"", ""power"", ""core""]",9,15,"{""style"": ""mixed"", ""rounds"": 3}","[{""id"": ""BW_002"", ""role"": ""single_leg""}, {""id"": ""BW_018"", ""role"": ""power""}, {""id"": ""BW_013"", ""role"": ""lateral_power""}, {""id"": ""BW_020"", ""role"": ""deceleration""}, {""id"": ""BW_011"", ""role"": ""core""}]"
CIR_008,Movement Quality & Recovery,active,recovery,"[""movement"", ""core"", ""recovery""]",8,18,"{""style"": ""timed"", ""work_sec"": 30, ""rest_sec"": 15, ""rounds"": 2}","[{""id"": ""BW_010"", ""role"": ""core""}, {""id"": ""BW_003"", ""role"": ""primary_lower""}, {""id"": ""BW_005"", ""role"": ""activation""}, {""id"": ""BW_012"", ""role"": ""lateral_core""}, {""id"": ""BW_001"", ""role"": ""patterning""}]"
